Sub Department Group,Item (Code),Product Long Name (EN),Sub Department,Budget Class,Collection,Class,Fabric (Code),Group of Level Price (shortname),Is High,IS_X,IS_Y,SubDepartment_Macro,Size_1
FJ,IKP,'1847 1021 2258 668 2542,OPYY3,Budget Class 18,Collection 10,Class 34,303.0,HETI,1,False,False,OPYY3,
FJ,JWX,'2739 202 1085 2891 1085 2542 2542,F9TFQ,Budget Class 16,Collection 10,Class 25,202.0,HETI,1,False,False,F9TFQ,
FJ,0IG,'2739 2258 668 2542,OPYY3,Budget Class 18,Collection 10,Class 34,303.0,HETI,1,False,False,OPYY3,
FJ,1HG,'368 2258 2970 2891 2542,OPYY3,Budget Class 18,Collection 10,Class 34,201.0,ITI,1,False,False,OPYY3,
FJ,BJC,'1043 2395 202 2970 2891 2542 3456 3809,F9TFQ,Budget Class 16,Collection 10,Class 23,201.0,ITI,1,False,False,F9TFQ,
FJ,E4P,'424 2749 496 2970 2891 2542 3456 3809,5SY0X,Budget Class 16,Collection 19,Class 7,201.0,ITI,1,False,False,,
FJ,T0Y,'3445 1057 496 2970 2891 2542,5SY0X,Budget Class 16,Collection 12,Class 29,201.0,ITI,1,False,False,,
FJ,FUF,'424 2749 496 2970 2891 2542 3456 3809,5SY0X,Budget Class 16,Collection 19,Class 7,201.0,ITI,1,False,False,,
FJ,YXR,'1409,5SY0X,Budget Class 4,Collection 5,Class 4,202.0,STI,0,False,False,,
FJ,PP1,'274 496 2970 2891 2896 3801 2542,5SY0X,Budget Class 12,Collection 15,Class 7,201.0,MTI,0,False,False,,
FJ,RDB,'274 757 2970 2891 2896 3801 2542,X975C,Budget Class 12,Collection 15,Class 20,201.0,MTI,0,False,False,X975C,
FJ,98B,'424 1684 3589 1085 2891 2542,HGG8G,Budget Class 16,Collection 19,Class 32,202.0,HETI,1,False,False,HGG8G,
FJ,KXQ,'274 3589 2970 2891 2896 3801 2542,HGG8G,Budget Class 16,Collection 15,Class 27,201.0,ITI,1,False,False,HGG8G,
FJ,4L1,'1034 1730 522 202 2970 2891 2542 3716 429,F9TFQ,Budget Class 16,Collection 5,Class 23,201.0,HETI,1,False,False,F9TFQ,
FJ,4L8,'3246 1178 3445 3589 2970 2891 2542,HGG8G,Budget Class 16,Collection 12,Class 12,201.0,ITI,1,False,False,HGG8G,
FJ,4O7,'274 1077 2970 2891 2896 3801 2542,N15MO,Budget Class 16,Collection 15,Class 11,201.0,ITI,1,False,False,N15MO,
FJ,8KU,'424 3587 757 2970 2891 2896 3801 2542,X975C,Budget Class 16,Collection 19,Class 20,201.0,HETI,1,False,False,X975C,
FJ,DR7,'424 2749 496 2970 2891 2542 3456 3809,5SY0X,Budget Class 16,Collection 19,Class 7,201.0,ITI,1,False,False,,
FJ,FOO,'368 3589 2970 2891 2542,HGG8G,Budget Class 16,Collection 10,Class 12,201.0,HETI,1,False,False,HGG8G,
FJ,GIU,'1172 1077 668 2869 2542,N15MO,Budget Class 16,Collection 10,Class 17,303.0,HETI,1,False,False,N15MO,
FJ,Y8J,'368 3558 668 2542 3456 3809,HGG8G,Budget Class 16,Collection 10,Class 12,305.0,HETI,1,False,False,HGG8G,
FJ,Y60,'368 202 668 2542 3456 3809,F9TFQ,Budget Class 16,Collection 10,Class 23,303.0,HETI,1,False,False,F9TFQ,
FJ,L0N,'368 202 668 2542 2731 3809,F9TFQ,Budget Class 16,Collection 10,Class 23,303.0,HETI,1,False,False,F9TFQ,
FJ,MDO,'368 202 668 2542 2190 3809,F9TFQ,Budget Class 16,Collection 10,Class 23,303.0,HETI,1,False,False,F9TFQ,
FJ,GQI,'1847 1021 2598 1951 3589 2172 2542,HGG8G,Budget Class 16,Collection 10,Class 12,303.0,HETI,1,False,False,HGG8G,
FJ,YNT,'1601 2832 424 3589 2970 2891 2756 1252 3443,HGG8G,Budget Class 16,Collection 19,Class 14,201.0,HETI,1,False,False,HGG8G,
FJ,F43,'3459 1077 2970 2891 2896 3801 2542,N15MO,Budget Class 16,Collection 10,Class 12,201.0,HETI,1,False,False,N15MO,
